id,created_at,updated_at,created_by,modified_by,name,img_url,county,party,field_status
46,2020-05-04 14:28:23,2020-05-04 14:28:25,1,1,Sen. Wario Golich Juma,http://www.parliament.go.ke/sites/default/files/2017-10/646fde569dc2bfa74bc285a6acc1e1bf_M.jpg,Tana River,JP,Elected
47,2020-05-05 14:28:23,2020-05-05 14:28:25,1,1,Sen. Wetang’ula Moses Masika,http://www.parliament.go.ke/sites/default/files/2017-10/25bfba7431836cae20efc2f79f1f821d_M.jpg,Bungoma,FORD-K,Elected
48,2020-05-06 14:28:23,2020-05-06 14:28:25,1,1,Sen. Kimani Wamatangi Paul,http://www.parliament.go.ke/sites/default/files/2017-10/a6eab51a7068cefac7709d0e968987f7_M.jpg,Kiambu,JP,Elected
49,2020-05-07 14:28:23,2020-05-07 14:28:25,1,1,Sen. Kindiki Kithure,http://www.parliament.go.ke/sites/default/files/2020-02/Sen.%20Kithure%20Kindiki.jpg,Tharaka Nithi,JP,Elected
50,2020-05-08 14:28:23,2020-05-08 14:28:25,1,1,Sen. Linturi Franklin Mithika,http://www.parliament.go.ke/sites/default/files/2017-10/4a2662994c6abdc171531b2b6af6a4de_M.jpg,Meru,JP,Elected
51,2020-05-09 14:28:23,2020-05-09 14:28:25,1,1,Sen. Loitiptip Anuar,http://www.parliament.go.ke/sites/default/files/2017-10/0a9c4647017995b1a5a50326a05e6fcf_M.jpg,Lamu,JP,Elected
52,2020-05-10 14:28:23,2020-05-10 14:28:25,1,1,Sen. Lokorio Petronila Were,http://www.parliament.go.ke/sites/default/files/2017-10/78670d8df485ae375d04cfa0354efefa_M.jpg,Nairobi Delegation,ANC,Nominated
53,2020-05-11 14:28:23,2020-05-11 14:28:25,1,1,Sen. Madzayo Stewart Mwachiru,http://www.parliament.go.ke/sites/default/files/2017-10/b9deed2baf78623484fc2170479f5cfb_M.jpg,Kilifi,ODM,Elected
54,2020-05-12 14:28:23,2020-05-12 14:28:25,1,1,Sen. Mahamud Mohamed M,http://www.parliament.go.ke/sites/default/files/2017-10/30c159f7039f4f65df10cdb5a5bd4371_M.jpg,Mandera,JP,Elected
55,2020-05-13 14:28:23,2020-05-13 14:28:25,1,1,Sen. Makori Beatrice Kwamboka,http://www.parliament.go.ke/sites/default/files/2017-10/f314dfc9c926bccc6099265dd6e8b176_M.jpg,Nairobi Delegation,ODM,Nominated
